MARKET PLACE,Customer Site ID,Customer Name,Product Code,Product Serial Number,Equipment Rental Payment/Month
GEORGIA,197608,PHOENIX HEALTHCARE,A4,76203550,140
GEORGIA,197611,PHOEBE PUTNEY MEMORIAL HOSPITAL INC,D2,H2591201007,163
GEORGIA,197611,PHOEBE PUTNEY MEMORIAL HOSPITAL INC,D2,H2591201007,163
ATAM,197642,PENSACOLA LUNG GROUP PA,F1,ULR69459,108
ATAM,197642,PENSACOLA LUNG GROUP PA,F1,ULR69459,108
GEORGIA,197790,COTTON STATE MORTGAGE,D3,NQJ37171,270
GEORGIA,197804,COOSA VALLEY TECHNICAL COLLEGE,D3,NQJ50717,205
GEORGIA,197804,COOSA VALLEY TECHNICAL COLLEGE,F1,ULR69545,123
NORTH FLORIDA,197841,ORHS BILLING CALL CTR,D3,NNV17088,439
SOUTH FLORIDA,197951,BAYTRUST CAPITAL CORP,D3,NQJ36033,240
SOUTH FLORIDA,197958,ART BASEL MIAMI BEACH,D1,NJP00195,152
ATAM,197961,BHG BAPTIST HEALTHCARE,D3,NQJ09753,200
GEORGIA,197979,BETHEL CME CHURCH,A4,A3353090011,175
SOUTH FLORIDA,197997,GINN DEVELOPMENT LLC TESORO DEVELOPMENT,F1,UYR51871,128
ATAM,198071,UCA,D4,NNT13942,452
ATAM,198071,UCA,D4,NNT14154,714
ATAM,198071,UCA,D4,NNT13942,452
ATAM,198071,UCA,D4,NNT14154,714
GEORGIA,198090,CARVER AND ASSOCIATES,A2,NGL07588,20
GEORGIA,198098,CORNERSTONE MEDICAL ASSOCIATES LLC,D2,J0111200320,239
CAROLINAS,198104,DARLINGTON COUNTY SCHOOLS,D3,NQG00590,90
CAROLINAS,198104,DARLINGTON COUNTY SCHOOLS,D3,NQG00590,90
GEORGIA,198154,CARTER CENTER,D3,A7699820102,164
GEORGIA,198164,CANDLER CNTY COMMISSIONER,D1,A9029080476,332
GEORGIA,198164,CANDLER CNTY COMMISSIONER,D1,A9029080490,332
GEORGIA,198164,CANDLER CNTY COMMISSIONER,D2,A7429080298,588
GEORGIA,198164,CANDLER CNTY COMMISSIONER,D2,A7429080221,508
GEORGIA,198164,CANDLER CNTY COMMISSIONER,D3,A7698870328,231
GEORGIA,198164,CANDLER CNTY COMMISSIONER,D4,A7708840618,276
GEORGIA,198164,CANDLER CNTY COMMISSIONER,F1,M9098300115,111
GEORGIA,198164,CANDLER CNTY COMMISSIONER,F1,M9098300113,111
GEORGIA,198164,CANDLER CNTY COMMISSIONER,F1,M9098200802,111
NORTH FLORIDA,198274,FLORIDA MACHINERY,F1,A1400700378,146
GEORGIA,198279,BAY DISTRICT SCHOOLS,D3,NQJ54794,0
GEORGIA,198279,BAY DISTRICT SCHOOLS,D3,NQJ54794,0
GEORGIA,198295,PHOEBE WORTH MEDICAL CENTER,F1,M1250501960,18
GEORGIA,198295,PHOEBE WORTH MEDICAL CENTER,F1,M1250501960,18
GEORGIA,198317,BAKER CNTY BD OF COMMISS,A1,NVH14357,24
GEORGIA,198317,BAKER CNTY BD OF COMMISS,A1,NVH12522,24
GEORGIA,198317,BAKER CNTY BD OF COMMISS,A1,NVH14357,24
GEORGIA,198317,BAKER CNTY BD OF COMMISS,A1,NVH12522,24
GEORGIA,198317,BAKER CNTY BD OF COMMISS,D3,NQJ34748,99
GEORGIA,198317,BAKER CNTY BD OF COMMISS,D3,NQJ34746,99
GEORGIA,198317,BAKER CNTY BD OF COMMISS,D3,NQJ32774,127
GEORGIA,198317,BAKER CNTY BD OF COMMISS,D3,NQJ32779,99
GEORGIA,198317,BAKER CNTY BD OF COMMISS,D3,NQJ34748,99
GEORGIA,198317,BAKER CNTY BD OF COMMISS,D3,NQJ34746,99
GEORGIA,198317,BAKER CNTY BD OF COMMISS,D3,NQJ32774,127
GEORGIA,198317,BAKER CNTY BD OF COMMISS,D3,NQJ32779,99
NORTH FLORIDA,198324,MASSEY SERVICES INC #15,D2,MPG22637,139
NORTH FLORIDA,198351,SHANDS HEALTHCARE NETWORK LAKE SHORE ADMISSION OFC,A1,NVF64131,19
GEORGIA,198373,AUBURN UNIVERSITY,D4,A7709850652,0
GEORGIA,198375,ATTENTION LLC,A4,NDK23443,0
GEORGIA,198375,ATTENTION LLC,A2,A3715911931,0
PACIFIC NORTHWEST,198387,WASHINGTON MUTUAL BANK,A5,A3876070042,0
GEORGIA,198409,CHARBROIL,D2,H2500801417,248
GEORGIA,198409,CHARBROIL,F1,M9008300449,40
GEORGIA,198409,CHARBROIL,F1,M9008500798,40
GEORGIA,198409,CHARBROIL,F1,M2600120815,59
GEORGIA,198409,CHARBROIL,F1,M2600322206,59
GEORGIA,198409,CHARBROIL,F1,M2690818092,59
GEORGIA,198409,CHARBROIL,F1,M2690919349,59
GEORGIA,198409,CHARBROIL,F1,M2690919347,59
SOUTH FLORIDA,198426,SOUTH FLORIDA ENT ASSOC STE 204,D3,MPH13831,383
ATAM,198429,BILOXI GULFPORT VA MEDICAL CTR,D2,NPR39975,171
ATAM,198429,BILOXI GULFPORT VA MEDICAL CTR,D2,NPR39975,171
GEORGIA,198430,CBCA ADMINISTRATORS,F1,UBZ55058,0
GEORGIA,198430,CBCA ADMINISTRATORS,F1,UBZ55057,0
GEORGIA,198430,CBCA ADMINISTRATORS,F1,ULR66550,37
GEORGIA,198495,STITES AND HARBISON,A2,A3726840289,109
GEORGIA,198509,SPALDING CNTY HLTH DEPT,D2,A7428050048,238
GEORGIA,198528,SMITH WELCH AND BRITTON,D4,A9040010534,725
CAROLINAS,198569,AC CORPORATION,A1,NVH28692,0
CAROLINAS,198569,AC CORPORATION,A1,NVH28692,0
ATAM,198607,O CHARLEYS INC,A6,179421672,"2,249"
ATAM,198610,MI TECH STEEL,A1,NUC49273,87
ATAM,198629,N W SHOALS COMM COLLEGE,A1,NUN09322,135
ATAM,198629,N W SHOALS COMM COLLEGE,A1,NUN09322,135
ATAM,198629,N W SHOALS COMM COLLEGE,D2,NPR10773,159
ATAM,198629,N W SHOALS COMM COLLEGE,D2,NPR10773,159
ATAM,198641,1ST TRUST BANK FOR SAVINGS,A2,NGV21672,69
ATAM,198641,1ST TRUST BANK FOR SAVINGS,A2,NGV21672,69
ATAM,198641,1ST TRUST BANK FOR SAVINGS,A4,NJE03682,494
ATAM,198641,1ST TRUST BANK FOR SAVINGS,A4,NJE03682,494
ATAM,198641,1ST TRUST BANK FOR SAVINGS,D3,NQJ06241,203
ATAM,198641,1ST TRUST BANK FOR SAVINGS,D3,NQJ06241,203
ATAM,198641,1ST TRUST BANK FOR SAVINGS,D3,NNY09148,279
ATAM,198641,1ST TRUST BANK FOR SAVINGS,A5,A7107520135,580
ATAM,198641,1ST TRUST BANK FOR SAVINGS,A5,A7107520135,580
PACIFIC NORTHWEST,198642,GREAT WESTERN MALTING CO BUILDING #1878,A1,NVH14599,88
PACIFIC NORTHWEST,198642,GREAT WESTERN MALTING CO BUILDING #1878,D3,NQJ11184,236
PACIFIC NORTHWEST,198642,GREAT WESTERN MALTING CO BUILDING #1878,D3,NQG09625,795
PACIFIC NORTHWEST,198642,GREAT WESTERN MALTING CO BUILDING #1878,F1,ZKM02223,38
PACIFIC NORTHWEST,198642,GREAT WESTERN MALTING CO BUILDING #1878,F1,UFW23317,23
ATAM,198663,BAPTIST HICKMAN COMM HOSP,F1,UYP61657,73
ATAM,198674,OZBURN HESSEY LOGISTICS,F1,UYP61583,81
SOUTH FLORIDA,198685,BLUE GOOSE GROWERS,D3,NQG08007,335
BAY AREA,198685,R F I ELECTRONICS,D4,NLE12249,758
SOUTH FLORIDA,198719,CITY OF FORT LAUDERDALE TRAINING DIV,D4,NSN06808,471
ATAM,198722,SATELLITE SERVICES INC,A1,76611719,178
CAROLINAS,198750,MOLL INDUSTRIES,D2,MPG13426,263
CAROLINAS,198750,MOLL INDUSTRIES,D2,MPG13426,263
CAROLINAS,198750,MOLL INDUSTRIES,D2,MPG13426,263
CAROLINAS,198750,MOLL INDUSTRIES,D3,MPH06951,710
CAROLINAS,198750,MOLL INDUSTRIES,D3,MPH06951,710
CAROLINAS,198750,MOLL INDUSTRIES,D3,MPH06951,710
ATAM,198766,ROGERS HIGH SCHOOL,M1,88483262,129
ATAM,198766,ROGERS HIGH SCHOOL,M1,88468459,139
ATAM,198766,ROGERS HIGH SCHOOL,M1,88468178,139
ATAM,198766,ROGERS HIGH SCHOOL,M1,88483262,129
ATAM,198766,ROGERS HIGH SCHOOL,M1,88468459,139
ATAM,198766,ROGERS HIGH SCHOOL,M1,88468178,139
ATAM,198766,ROGERS HIGH SCHOOL,D2,NPR12784,108
ATAM,198766,ROGERS HIGH SCHOOL,D2,NPR12784,108
ATAM,198766,ROGERS HIGH SCHOOL,D3,NQJ34779,170
ATAM,198766,ROGERS HIGH SCHOOL,D3,NQJ25000,170
ATAM,198766,ROGERS HIGH SCHOOL,D3,NQJ24588,175
ATAM,198766,ROGERS HIGH SCHOOL,D3,NQJ24588,175
ATAM,198766,ROGERS HIGH SCHOOL,D3,NQJ34779,170
ATAM,198766,ROGERS HIGH SCHOOL,D3,NQJ25000,170
GEORGIA,198773,RHODES FURNITURE,F1,UYP16866,66
GEORGIA,198773,RHODES FURNITURE,F1,UYP15967,66
GEORGIA,198773,RHODES FURNITURE,F1,UYP15790,66
GEORGIA,198773,RHODES FURNITURE,F1,UYP14074,66
GEORGIA,198773,RHODES FURNITURE,D3,NQG11148,460
GEORGIA,198773,RHODES FURNITURE,D3,NQJ24553,329
GEORGIA,198773,RHODES FURNITURE,D3,NQJ24388,394
GEORGIA,198773,RHODES FURNITURE,D3,NQJ20113,329
GEORGIA,198773,RHODES FURNITURE,D3,NQJ20002,416
GEORGIA,198784,REMAX OF GREATER ATLANTA LLC,D3,NNV13870,440
GEORGIA,198785,REMAX NORTH ATLANTA,D3,NQG16236,293
GEORGIA,198785,REMAX NORTH ATLANTA,D3,NQG16229,439
ATAM,198833,PEARSON & SMITHHART,D3,A7690821330,0
ATAM,198833,PEARSON & SMITHHART,D3,A7690821330,0
ATAM,198833,PEARSON & SMITHHART,D3,A7690821330,0
ATAM,198833,PEARSON & SMITHHART,D2,H2510401356,208
ATAM,198833,PEARSON & SMITHHART,D2,H2510401356,208
ATAM,198833,PEARSON & SMITHHART,D2,H2510401356,208
ATAM,198896,CENTRAL MISSISSIPPI,A1,NVH38264,129
GEORGIA,198987,ELDER CARE PHARMACY,F1,UYH11270,56
GEORGIA,199027,COTTON STATES INSURANCE,A4,NJE03680,445
GEORGIA,199027,COTTON STATES INSURANCE,A4,NHW00224,384
ATAM,199040,COMMUNITY BIO RESOURCES,D3,NQG20047,440
ATAM,199040,COMMUNITY BIO RESOURCES,D3,NQG20047,440
ATAM,199040,COMMUNITY BIO RESOURCES,D3,NQG20047,440
ATAM,199040,COMMUNITY BIO RESOURCES,D4,NNT24769,677
ATAM,199040,COMMUNITY BIO RESOURCES,D4,NNT24769,677
ATAM,199040,COMMUNITY BIO RESOURCES,D4,NNT24769,677
ATAM,199048,EAST FORD INC,D2,MPG17944,201
ATAM,199048,EAST FORD INC,D3,NQG04595,291
ATAM,199048,EAST FORD INC,D3,NQJ54041,241
ATAM,199048,EAST FORD INC,D4,MNB03099,481
GEORGIA,199095,ALL AMERICAN SELF STORAGE,F1,M9099000236,69
CAROLINAS,199141,LEEPER KEAN & RUMLEY LLP,D2,C02001218,226
CAROLINAS,199141,LEEPER KEAN & RUMLEY LLP,D2,C02001218,226
CAROLINAS,199148,PIONEER PRINTING COMPANY,C2,NND00739,686
CAROLINAS,199148,PIONEER PRINTING COMPANY,C2,NND00739,686
CAROLINAS,199148,PIONEER PRINTING COMPANY,C2,NND00739,686
CAROLINAS,199150,PRINTMASTERS PROFESSIONAL,P7,EV816,702
CAROLINAS,199184,APPLE REALTY,D3,NQJ24987,383
CAROLINAS,199186,STORK PRINTS AMERICA INC,D2,NSD01105,399
CAROLINAS,199186,STORK PRINTS AMERICA INC,D2,NSD01100,287
CAROLINAS,199186,STORK PRINTS AMERICA INC,D2,NSD01105,399
CAROLINAS,199186,STORK PRINTS AMERICA INC,D2,NSD01100,287
CAROLINAS,199186,STORK PRINTS AMERICA INC,D4,NRF04881,474
CAROLINAS,199186,STORK PRINTS AMERICA INC,D4,NRF04881,474
CAROLINAS,199186,STORK PRINTS AMERICA INC,F1,UYP54106,56
CAROLINAS,199186,STORK PRINTS AMERICA INC,F1,UYP54105,56
CAROLINAS,199186,STORK PRINTS AMERICA INC,F1,UYP54104,56
CAROLINAS,199186,STORK PRINTS AMERICA INC,F1,UYP54006,56
CAROLINAS,199186,STORK PRINTS AMERICA INC,F1,UYP54106,56
CAROLINAS,199186,STORK PRINTS AMERICA INC,F1,UYP54105,56
CAROLINAS,199186,STORK PRINTS AMERICA INC,F1,UYP54104,56
CAROLINAS,199186,STORK PRINTS AMERICA INC,F1,UYP54006,56
CAROLINAS,199192,WILDERNESS SYSTEMS,M1,L2399600215,190
CAROLINAS,199192,WILDERNESS SYSTEMS,M1,L2399600215,190
CAROLINAS,199192,WILDERNESS SYSTEMS,M1,L2399600215,190
CAROLINAS,199192,WILDERNESS SYSTEMS,C2,H1191200021,570
CAROLINAS,199192,WILDERNESS SYSTEMS,C2,H1191200021,570
CAROLINAS,199192,WILDERNESS SYSTEMS,C2,H1191200021,570
CAROLINAS,199196,KLAUSSNER CORP,D2,H2411401090,208
CAROLINAS,199196,KLAUSSNER CORP,D2,H2411401091,208
CAROLINAS,199196,KLAUSSNER CORP,D2,H2411401091,208
CAROLINAS,199196,KLAUSSNER CORP,D2,H2411401090,208
CAROLINAS,199206,GENERAL DYNAMICS ATS,D1,NFY08580,0
CAROLINAS,199206,GENERAL DYNAMICS ATS,D1,NFY08580,0
CAROLINAS,199206,GENERAL DYNAMICS ATS,D2,NHX00464,0
CAROLINAS,199206,GENERAL DYNAMICS ATS,D2,NHX00464,0
CAROLINAS,199238,ADT SECURITY SERVICES INC,D3,NQK00399,329
CAROLINAS,199238,ADT SECURITY SERVICES INC,D3,MPH08306,304
GEORGIA,199271,ALTAMAHA EMC,A1,H4206301781,50
GEORGIA,199271,ALTAMAHA EMC,F1,M2690514049,70
GEORGIA,199271,ALTAMAHA EMC,F1,M2690212978,70
GEORGIA,199281,ANDREW SYSTEMS INC,D4,166012025,"3,108"
GEORGIA,199281,ANDREW SYSTEMS INC,C2,NND00460,"2,820"
GEORGIA,199281,ANDREW SYSTEMS INC,F1,UEF38331,31
GEORGIA,199281,ANDREW SYSTEMS INC,F1,UYP05381,90
GEORGIA,199281,ANDREW SYSTEMS INC,F1,UYP19163,90
CAROLINAS,199285,AMERICAN TOWER,D3,H5206601861,315
CAROLINAS,199285,AMERICAN TOWER,D3,H5206601861,315
CAROLINAS,199285,AMERICAN TOWER,D4,H4706000556,559
CAROLINAS,199285,AMERICAN TOWER,D4,H4706000556,559
CHICAGO WISCONSIN,199299,MCHENRY COUNTY CONSERVATION DISTRICT,D3,H5206701074,146
ATAM,199302,ATHEROTECH,F1,UYP58744,168
ATAM,199302,ATHEROTECH,F1,UYP58744,168
ATAM,199302,ATHEROTECH,F1,UYP58744,168
GEORGIA,199303,ATL CHAMBER OF COMMERCE,F1,UYP65026,59
CHICAGO WISCONSIN,199305,SERPICO NOVELLE NAVIGATO,D3,NNU01788,0
PACIFIC NORTHWEST,199325,ST OR YOUTH AUTHORITY MACLAREN CAMPUS,A2,NNS05877,102
GEORGIA,199341,BEREAN BAPTIST CHURCH,C3,C01002855,135
GEORGIA,199353,BLUE RIDGE CARPET MILLS,D4,C01006384,474
GEORGIA,199372,GLYNN COUNTY BD OF EDUC,A1,NVH32640,46
GEORGIA,199372,GLYNN COUNTY BD OF EDUC,A1,NVH30421,46
CAROLINAS,199409,CERAMTEC NORTH AMERICA,D2,MPG12534,194
CAROLINAS,199409,CERAMTEC NORTH AMERICA,D4,NNT26806,637
CAROLINAS,199409,CERAMTEC NORTH AMERICA,F1,UYS75797,99
CAROLINAS,199409,CERAMTEC NORTH AMERICA,F1,UYP53778,92
NORTH FLORIDA,199493,ORHS SAND LAKE ADMN,D3,MPH12814,470
NORTH FLORIDA,199509,GRACEVILLE LIBRARY,D3,NNY19184,234
NORTH FLORIDA,199540,SUNBELT TITLE STE 102,F1,UYR54619,92
SOUTH FLORIDA,199568,SOUTH FLORIDA ENT ASSOC,D2,MPG22658,250
SOUTH FLORIDA,199569,SOUTH FLORIDA ENT ASSOC,D2,MPG25090,250
NORTH FLORIDA,199997,INTERSTATE INSURANCE SERVICES GRP,D3,MPH19127,487
SOUTH FLORIDA,200022,JASCAN USA INC,D2,MPG21617,289
NORTH FLORIDA,200366,ORANGE COUNTY PUBLIC SCHL DESIGN & SISTRIBUTION,D3,NNY19225,204
NORTH FLORIDA,200394,SEA CREST HEALTH CARE MANAGEMENT LLC,A4,NDK27935,289
NORTH FLORIDA,200394,SEA CREST HEALTH CARE MANAGEMENT LLC,F1,UFW29468,10
PACIFIC NORTHWEST,200428,CENTRAL PREMIX,A1,NUN03696,0
PACIFIC NORTHWEST,200705,WSU STUDENT BOOKSTORE,A4,NDK53060,214
PACIFIC NORTHWEST,200705,WSU STUDENT BOOKSTORE,D2,MPG11216,146
PACIFIC NORTHWEST,200738,WA SOCIAL & HEALTH SVCS WRHSE,A2,NGM23925,125
PACIFIC NORTHWEST,200756,ST WA DEPT OF PRINTING COPY CENTER II,D4,NLE15873,898
PACIFIC NORTHWEST,200791,ST WA MAA CLIENT SUPPORT BLDG 1 3RD FLOOR,A4,VPG01260,112
PACIFIC NORTHWEST,201130,NANA REGIONAL DEVELOPMENT ACCOUNTS PAYABLE,D3,A7699911372,745
PACIFIC NORTHWEST,201130,NANA REGIONAL DEVELOPMENT ACCOUNTS PAYABLE,D3,A7699910739,745
PACIFIC NORTHWEST,201130,NANA REGIONAL DEVELOPMENT ACCOUNTS PAYABLE,F1,M2780301046,112
NORTH FLORIDA,201187,SHANDS HEALTHCARE EASTSIDE COMMUNITY HLTH,A1,NVF62784,19
SOUTH FLORIDA,201248,DJH & ASSOCIATES,F1,ZKM16693,204
NORTH FLORIDA,201695,HEALTH CENTRAL ACCOUNTS PAYABLE,D3,H7226200295,400
PACIFIC NORTHWEST,201710,NATURES FRESH NORTHWEST,A2,NGV15917,132
NORTH FLORIDA,201723,TIME WARNER ENTERTAINMENT,A1,NVF68317,41
NORTH FLORIDA,201768,CTM INDUSTRIES LTD,D1,NJP01943,58
NORTH FLORIDA,201770,NEXTTEQ,D3,NNV16463,502
NORTH FLORIDA,201772,ROTECH MEDICAL CORP STE 600 BLDG D,D3,NNY02445,0
NORTH FLORIDA,202092,TIME WARNER ENTERTAINMENT FL 1,D3,NQJ58982,212
NORTH FLORIDA,202093,ORLANDO REGIONAL HLTHCR SYS APH CARDIOLOGY 1239,D2,MPJ09627,302
NORTH FLORIDA,202100,THE VILLAGES REGIONAL HOSP MDCL RECORDS DEPT,D4,MPL27054,674
NORTH FLORIDA,202101,VILLAGES REGIONAL HOSP MAILROOM,D4,MPL27787,308
PACIFIC NORTHWEST,202216,NEWCASTLE ESCROW,F1,UFK07430,69
PACIFIC NORTHWEST,202239,CLEARPOINT LLC,F1,UBZ61040,0
PACIFIC NORTHWEST,202316,KITSAP COUNTY COMMISSIONERS,D4,NSN02806,452
NORTH FLORIDA,202428,MITIGATION MARKETING LLC,D1,H6726502902,149
NORTH FLORIDA,202457,VILLAGE TRI COUNTY MED CENTER INC,D4,MPL26965,674
NORTH FLORIDA,202457,VILLAGE TRI COUNTY MED CENTER INC,D4,MPL26967,308
NORTH FLORIDA,202460,MASSEY SERVICES INC,A1,NVH38501,79
PACIFIC NORTHWEST,202486,RENTON CITY OF,D3,NNV04370,428
PACIFIC NORTHWEST,202486,RENTON CITY OF,D3,NSG00406,428
CHICAGO WISCONSIN,202586,JOINT ACTION IN COMMUNITY,D1,H1700900311,0
CHICAGO WISCONSIN,202635,SPRINT UNITED MGMT CO FINANCE DEPT,D4,A7909410275,198
CHICAGO WISCONSIN,202635,SPRINT UNITED MGMT CO FINANCE DEPT,F1,M2600322623,66
PACIFIC NORTHWEST,202679,DYNACARE,A1,NVH03061,71
PACIFIC NORTHWEST,202679,DYNACARE,F1,UXM47853,32
PACIFIC NORTHWEST,202679,DYNACARE,F1,UYG31163,57
PACIFIC NORTHWEST,202694,CARDINAL HEALTHCARE *FORMERLY ALLEGIANCE,F1,UFK36905,93
PACIFIC NORTHWEST,202694,CARDINAL HEALTHCARE *FORMERLY ALLEGIANCE,F1,UFK39463,89
PACIFIC NORTHWEST,202694,CARDINAL HEALTHCARE *FORMERLY ALLEGIANCE,F1,UFK39465,89
PACIFIC NORTHWEST,202694,CARDINAL HEALTHCARE *FORMERLY ALLEGIANCE,F1,UYG11726,89
PACIFIC NORTHWEST,202694,CARDINAL HEALTHCARE *FORMERLY ALLEGIANCE,F1,UYP09005,108
PACIFIC NORTHWEST,202694,CARDINAL HEALTHCARE *FORMERLY ALLEGIANCE,F1,UYP09008,108
PACIFIC NORTHWEST,202708,EMERITUS ACORN CHARLTON PLACE,D1,NJP01032,0
NORTH FLORIDA,202914,BORI & ASSOCIATES PA,F1,UYS76008,225
NORTH FLORIDA,202964,CFI WESTGATE RESORTS GREENLEAF RESORT,D3,MPH20095,217
PACIFIC NORTHWEST,202988,CUTTER & BUCK,A1,NVF54077,72
PACIFIC NORTHWEST,202988,CUTTER & BUCK,F1,UFK38291,118
PACIFIC NORTHWEST,202988,CUTTER & BUCK,F1,UYS27559,61
PACIFIC NORTHWEST,203009,LUMBERMANS BUILDING CTR,D1,H1700400621,104
MINNESOTA IOWA,203133,HY VEE FOOD STORE,A1,NVF66578,39
MINNESOTA IOWA,203133,HY VEE FOOD STORE,F1,UYJ24258,17
PACIFIC NORTHWEST,203607,US FILTER,A4,NDK69740,332
PACIFIC NORTHWEST,203611,PSU-MECHANICAL ENGINEER SCIENCE BLDG 2 RM 118,A4,NJE35633,235
PACIFIC NORTHWEST,203967,PSU - PARKING NEUBERGER HALL RM 154,A1,NVH24560,27
PACIFIC NORTHWEST,204164,OR DMV HEARINGS DEPT,D3,NQG24892,377
PACIFIC NORTHWEST,204268,AD GROUP,C2,NNC03484,634
PACIFIC NORTHWEST,204655,CHILD EVANGELISM,A2,NRD21090,113
NORTH FLORIDA,204909,SHANDS HUMAN RESOURCE EMPLYE RESRC CTR,A1,NVH34902,30
PACIFIC NORTHWEST,205068,ST WA INST PUBLIC POLICY EVERGREEN STATE COLLEGE,A4,NDK70249,0
PACIFIC NORTHWEST,205121,LONGVIEW HOUSING AUTH,D2,NPR35838,100
PACIFIC NORTHWEST,205173,ALASKA SALES & SERVICE,F1,M0878900394,65
SOUTH FLORIDA,205174,FLORIDA AVE LLC MAIL TIME,D1,NJP03142,115
PACIFIC NORTHWEST,205289,LIFEWISE,F1,UBY97142,78
PACIFIC NORTHWEST,205289,LIFEWISE,F1,UYG03169,78
PACIFIC NORTHWEST,205289,LIFEWISE,F1,UYG41441,78
NORTH FLORIDA,205300,HAMILTON COUNTY HIGH SCHL,D2,MPG33984,295
NORTH FLORIDA,205331,ALEXIAN AT HIGHLAND OAKS,F1,YKM13110,26
NORTH FLORIDA,205331,ALEXIAN AT HIGHLAND OAKS,D1,H6626503104,119
NORTH FLORIDA,205331,ALEXIAN AT HIGHLAND OAKS,D2,J0121402905,186
SOUTH FLORIDA,205449,STEPHENS LYNN KLEIN LACAVA HOFFMAN,F1,UYS73494,90
SOUTH FLORIDA,205449,STEPHENS LYNN KLEIN LACAVA HOFFMAN,F1,UYS71576,90
SOUTH FLORIDA,205581,PHILLIP DEBERARD PA,D3,MPH24725,345
NORTH FLORIDA,208428,FLORIDA COMMUNITY CANCER CTR,D2,MPG33889,284
NORTH FLORIDA,208431,TA OPERATING CORP TRAVEL CENTER OF AMERICA,A2,NRD34003,148
NORTH FLORIDA,208444,CFI WESTGATE RESORTS SALES MARKETING,D2,MPG27788,161
NORTH FLORIDA,208445,CFI WESTGATE RESORTS ADMN,D2,MPG29816,108
NORTH FLORIDA,208446,WINTER HAVEN HOSP ONCOLOGY DEPT ST SD FL 4,D3,MPH20084,265
SOUTH FLORIDA,208498,EVERGLADES PREPAROTY ACADEMY,A4,NDK45641,151
PACIFIC NORTHWEST,209553,RENTON CITY OF FIRE DEPT,D1,MNT00958,52
PACIFIC NORTHWEST,209600,DRAKE MORTGAGE,A4,NJE13484,350
PACIFIC NORTHWEST,209600,DRAKE MORTGAGE,F1,UFW22365,21
PACIFIC NORTHWEST,209945,CAR TOYS,D1,H6726103370,186
NORTH FLORIDA,210262,VILLAGES INC REGL HOSP CRITICAL CARE,D3,MPH22328,139
NORTH FLORIDA,210296,ARVIDA COLDWELL BANKER,D2,NPR38687,170
PACIFIC NORTHWEST,210435,MULTNOMAH CO SD RIVERDALE SCHOOLS,A1,NVF21579,28
PACIFIC NORTHWEST,210435,MULTNOMAH CO SD RIVERDALE SCHOOLS,F1,UYS30416,67
PACIFIC NORTHWEST,210667,HB PAINTERS INC,F1,ULR20354,43
PACIFIC NORTHWEST,210835,LAKELAND VILLAGE,D1,NJQ01700,131
PACIFIC NORTHWEST,211095,SOUTH SALEM MUSIC BOOSTERS,D3,NQJ22931,162
PACIFIC NORTHWEST,211134,ST OR YOUTH AUTHORITY PLK COUNTY RM 22,F1,UYJ29084,40
PACIFIC NORTHWEST,211264,DR WILLIAM WILLIS,A1,NUP10538,50
NORTH FLORIDA,211409,LANDSTAR DEVELOPMENT,D2,MPG36009,345
SOUTH FLORIDA,211435,HAMPTON PARK SALES,D1,NLV01827,148
SOUTH FLORIDA,211437,SMITH TODD MCENTEE & CO,A1,NVH38566,61
SOUTH FLORIDA,211491,AMERICAN MARITIME,D3,MPH24716,189
SOUTH FLORIDA,211491,AMERICAN MARITIME,D3,MPH26658,194
SOUTH FLORIDA,211513,RIVIERA BEACH ACADEMY CTR,D4,MPL27720,444
SOUTH FLORIDA,211536,TECH DATA CORP WAREHOUSE,A2,NCH02689,108
SOUTH FLORIDA,211541,UNIVERSAL AMERICAN MORTGAGE CO,F1,UYR57839,85
PACIFIC NORTHWEST,211872,MOSS BAY CENTER,D3,H5206200644,288
PACIFIC NORTHWEST,212049,STAFFMARK,A1,NUP05303,68
NORTH FLORIDA,212145,GENESIS DIRECT,D4,A7709850746,252
PACIFIC NORTHWEST,212493,VOLUNTEERS OF AMERICA GREENWOOD FOOD BANK,A1,NUN10281,57
NORTH FLORIDA,213222,ORANGE COUNTY CONVENTION CTR ADMIN OFFICE,D4,NSN08696,571
MINNESOTA IOWA,213381,IL DEPT OF CHILDREN & FAMILY SERVICES,D4,H4705900767,284
PACIFIC NORTHWEST,213394,TACOMA PUBLIC UTILITIES,A4,NJF10633,0
PACIFIC NORTHWEST,213472,KITSAP COUNTY SUPERIOR COURT,F1,UYS69328,65
PACIFIC NORTHWEST,214308,AVISTA ADVANTAGE MS 08 ACCNTS PAYABLE,F1,UYP09027,96
PACIFIC NORTHWEST,214308,AVISTA ADVANTAGE MS 08 ACCNTS PAYABLE,F1,UYS23498,96
PACIFIC NORTHWEST,214458,ST WA FISH AND WILDLIFE BINGHAM FISH HATCHERY,A1,NUN11950,51
PACIFIC NORTHWEST,214601,CAR TOYS,D1,H6717204330,186
CHICAGO WISCONSIN,214746,LAW TITLE INSURANCE,D4,H5306900832,424
NORTH FLORIDA,214890,ORANGE COUNTY HEALTH DEPT 3 FLOOR,D4,MPL25894,278
SOUTH FLORIDA,214986,CATALFUMO CONSTRUCTION & DEVELOPMENT INC,D2,MPG20659,579
SOUTH FLORIDA,214990,CATALFUMO CONSTRUCTION,D2,MPG29802,323
SOUTH FLORIDA,214990,CATALFUMO CONSTRUCTION,D2,MPG35989,316
